阿鼻地狱 a.bi.di.yu
败絮其中 bai.xu.qi.zhong
白雪皑皑 bai.xue.ai.ai
白雪阳春 bai.xue.yang.chun
白眼相看 bai.yan.xiang.kan
败也萧何 bai.ye.xiao.he
百业萧条 bai.ye.xiao.tiao
百依百从 bai.yi.bai.cong
百依百顺 bai.yi.bai.shun
百衣百随 bai.yi.bai.sui
百依百随 bai.yi.bai.sui
白衣苍狗 bai.yi.cang.gou
白衣公卿 bai.yi.gong.qing
白衣卿相 bai.yi.qing.xiang
白衣秀士 bai.yi.xiu.shi
败于垂成 bai.yu.chui.cheng
白鱼入舟 bai.yu.ru.zhou
白玉微瑕 bai.yu.wei.xia
白玉无瑕 bai.yu.wu.xia
白云苍狗 bai.yun.cang.gou
白云孤飞 bai.yun.gu.fei
白云亲舍 bai.yun.qin.she
败则为寇 bai.ze.wei.kou
败则为虏 bai.ze.wei.lu
败则为贼 bai.ze.wei.zei
百战百胜 bai.zhan.bai.sheng
百战不殆 bai.zhan.bu.dai
百丈竿头 bai.zhang.gan.tou
百折不回 bai.zhe.bu.hui
百折不挠 bai.zhe.bu.nao
败者为寇 bai.zhe.wei.kou
白纸黑字 bai.zhi.hei.zi
柏舟之誓 bai.zhou.zhi.shi
百纵千随 bai.zong.qian.sui
百足之虫 bai.zu.zhi.chong
百足之虫死而不僵 bai.zu.zhi.chong.si.er.bu.jiang
班班可考 ban.ban.ke.kao
版版六十四 ban.ban.liu.shi.si
半壁河山 ban.bi.he.shan
半壁江山 ban.bi.jiang.shan
半壁山河 ban.bi.shan.he
斑驳陆离 ban.bo.lu.li
班驳陆离 ban.bo.lu.li
半部论语 ban.bu.lun.yu
半部论语治天下 ban.bu.lun.yu.zhi.tian.xia
半痴不颠 ban.chi.bu.dian
半筹不纳 ban.chou.bu.na
半筹莫展 ban.chou.mo.zhan
搬唇递舌 ban.chun.di.she
搬唇弄舌 ban.chun.nong.she
班功行赏 ban.gong.xing.shang
半间半界 ban.jian.ban.jie
半间不界 ban.jian.bu.jie
半截入土 ban.jie.ru.tu
半解一知 ban.jie.yi.zhi
半斤八两 ban.jin.ba.liang
搬斤播两 ban.jin.bo.liang
班荆道故 ban.jing.dao.gu
班荆道旧 ban.jing.dao.jiu
半路出家 ban.lu.chu.jia
半路修行 ban.lu.xiu.xing
班门弄斧 ban.men.nong.fu
半面不忘 ban.mian.bu.wang
半面之交 ban.mian.zhi.jiao
半面之旧 ban.mian.zhi.jiu
搬弄是非 ban.nong.shi.fei
搬起石头打自己的脚 ban.qi.shi.tou.da.zi.ji.de.jiao
半青半黄 ban.qing.ban.huang
半三不四 ban.san.bu.si
半上半下 ban.shang.ban.xia
板上钉钉 ban.shang.ding.ding
半上落下 ban.shang.la.xia
板上砸钉 ban.shang.za.ding
阪上走丸 ban.shang.zou.wan
半身不遂 ban.shen.bu.sui
半生半熟 ban.sheng.ban.shu
半生不熟 ban.sheng.bu.shu
班师回朝 ban.shi.hui.chao
搬石砸脚 ban.shi.za.jiao
伴食宰相 ban.shi.zai.xiang
伴食中书 ban.shi.zhong.shu
半丝半缕 ban.si.ban.lv
半死半生 ban.si.ban.sheng
半死不活 ban.si.bu.huo
半死辣活 ban.si.la.huo
半吐半露 ban.tu.ban.lou
半途而废 ban.tu.er.fei
半涂而废 ban.tu.er.fei
半推半就 ban.tui.ban.jiu
半吞半吐 ban.tun.ban.tu
班香宋艳 ban.xiang.song.yan
半新半旧 ban.xin.ban.jiu
半信半疑 ban.xin.ban.yi
半新不旧 ban.xin.bu.jiu
半信不信 ban.xin.bu.xin
半夜三更 ban.ye.san.geng
半疑半信 ban.yi.ban.xin
斑衣戏彩 ban.yi.xi.cai
班衣戏彩 ban.yi.xi.cai
半真半假 ban.zhen.ban.jia
版筑饭牛 ban.zhu.fan.niu
蚌病成珠 bang.bing.cheng.zhu
棒打鸳鸯 bang.da.yuan.yang
傍观冷眼 bang.guan.leng.yan
邦国殄瘁 bang.guo.tian.cui
帮虎吃食 bang.hu.chi.shi
傍花随柳 bang.hua.sui.liu
傍人篱壁 bang.ren.li.bi
傍人篱落 bang.ren.li.luo
傍人门户 bang.ren.men.hu
傍若无人 bang.ruo.wu.ren
榜上无名 bang.shang.wu.ming
帮闲钻懒 bang.xian.zuan.lan
邦以民为本 bang.yi.min.wei.ben
饱谙世故 bao.an.shi.gu
包办代替 bao.ban.dai.ti
报本反始 bao.ben.fan.shi
抱表寝绳 bao.biao.qin.sheng
报冰公事 bao.bing.gong.shi
抱冰公事 bao.bing.gong.shi
抱布贸丝 bao.bu.mao.si
保残守缺 bao.can.shou.que
抱残守阙 bao.can.shou.que
抱残守缺 bao.can.shou.que
包藏祸心 bao.cang.huo.xin
